divesite,country,region,location,X,Y
Ao Khai Koh Chan,Thailand,Gulf of Thailand,Eastern Gulf,100.9705295,12.51705406
Three Trees,Thailand,Andaman Sea,Koh Similan,97.6469,8.67483
Talang,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,99.332757,6.489237126
Lighthouse Pinnacle,Thailand,Gulf of Thailand,Koh Tao,99.84523207,10.12089317
Racha Noi Bay,Thailand,Koh Phuket,Racha Islands,98.30942988,7.466028175
King Kong Rock,Thailand,Gulf of Thailand,Koh Tao,99.84782011,10.07317605
Marista Rock,Thailand,Koh Phuket,Racha Islands,98.31816667,7.50255
Hin Luk Bat ,Thailand,Gulf of Thailand,Koh Chang,102.3012543,11.96073862
Hin Kuak Ma,Thailand,Gulf of Thailand,Koh Chang,102.4111176,11.78065311
Malone Wall,Thailand,Andaman Sea,Koh Phi Phi,98.76256667,7.685416667
Racha Yai Wreck,Thailand,Koh Phuket,Racha Islands,98.37831667,7.608072222
HTMS Sattakut,Thailand,Gulf of Thailand,Koh Tao,99.81361111,10.10555556
Tuna wreck,Thailand,Andaman Sea,Koh Similan,97.64644444,8.56675
Num Chai Bay,Thailand,Andaman Sea,Koh Similan,97.64622688,8.675554458
Anemone Life,Thailand,Gulf of Thailand,Koh Chang,102.5313663,11.70661909
Koh Raet,Thailand,Gulf of Thailand,Koh Chang,102.5240922,11.68281222
Koh Maphring,Thailand,Gulf of Thailand,Koh Chang,102.3955822,11.78699676
Three fingers life,Thailand,Gulf of Thailand,Eastern Gulf,102.3967838,11.79031556
Ao Sane,Thailand,Andaman Sea,Koh Phuket,98.29709172,7.777637273
Maritus Rock,Thailand,Andaman Sea,Koh Phuket,98.29542875,7.735199617
Buddha Rock,Thailand,Gulf of Thailand,Koh Tao,99.827625,10.06018333
Hin Dot,Thailand,Andaman Sea,Koh Phi Phi,98.77859116,7.712012309
Yong Hua Wreck,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,99.28336143,6.483885729
Jabang,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,99.27117348,6.513520242
Adang corner,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,99.27700996,6.578070509
Koh Yang,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,99.26138878,6.540296399
Bird Rock,Thailand,Andaman Sea,Koh Similan,97.63678551,8.557766155
Batfish Bend,Thailand,Andaman Sea,Koh Similan,97.64983177,8.682257441
Koh Sarang,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,99.17766094,6.492371185
Koh Pung,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,99.16540861,6.540658805
Ko Bon North Point,Thailand,Andaman Sea,Koh Surin,97.80235291,8.827063382
Koh Tachai The Dome,Thailand,Andaman Sea,Koh Surin,97.81376839,9.060651635
Ko Haa  4,Thailand,Andaman Sea,Koh Lanta,98.89696667,7.429
Ko Haa  2,Thailand,Andaman Sea,Koh Lanta,98.89793333,7.43065
Ko Haa  3 - Lagoon,Thailand,Andaman Sea,Koh Lanta,98.89655,7.430416667
Ko Haa Nua  1 - The Chimney,Thailand,Andaman Sea,Koh Lanta,98.89855,7.4344
Mae Haad,Thailand,Gulf of Thailand,Koh Samui,99.97777462,9.793689962
Koh Tae Nai,Thailand,Gulf of Thailand,Koh Samui,99.97140169,9.707851498
Kong Yai,Thailand,Gulf of Thailand,Koh Samui,100.0158834,9.802845604
Koh Tae Nok,Thailand,Gulf of Thailand,Koh Samui,99.94674683,9.704319361
Haad Yao,Thailand,Gulf of Thailand,Koh Samui,99.96461034,9.775483651
Haad Salad,Thailand,Gulf of Thailand,Koh Samui,99.97092962,9.786733197
Home Run Reef,Thailand,Koh Phuket,Racha Islands,98.37972222,7.609722222
Stonehenge,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,99.33460236,6.481455195
Koh Rang,Thailand,Gulf of Thailand,Koh Chang,102.3911111,11.80555556
Cheow Lan Lake,Thailand,,,98.71,9.011388889
Anita s reef,Thailand,Andaman Sea,Koh Similan,97.64722222,8.571666667
West of Eden,Thailand,Andaman Sea,Koh Similan,97.635,8.591111111
Waterfall wall,Thailand,Koh Phuket,Racha Islands,98.36557388,7.590282107
Honeymoon Bay,Thailand,Andaman Sea,Koh Similan,97.63978958,8.565319962
HTMS Kut,Thailand,Gulf of Thailand,Eastern Gulf,100.8016667,12.95166667
Koh Man Wichai,Thailand,Gulf of Thailand,Eastern Gulf,100.7311111,12.89222222
Banana Bay,Thailand,Koh Phuket,Racha Islands,98.32622051,7.500855198
Aow Leuk,Thailand,Gulf of Thailand,Koh Tao,99.84072447,10.07129065
Three Rocks,Thailand,Gulf of Thailand,Koh Tao,99.81679916,10.08303707
Koh Bida Nai,Thailand,Andaman Sea,Koh Phi Phi,98.76777649,7.65778669
Ashitol Bay,Thailand,Koh Phuket,Racha Islands,98.32533002,7.514683115
Crab Island,Thailand,Andaman Sea,Koh Phuket,98.28545094,7.819719877
Karon Beach,Thailand,Andaman Sea,Koh Phuket,98.29219401,7.828823576
Laem Thian,Thailand,Gulf of Thailand,Koh Tao,99.85516548,10.09140296
Tanote Bay,Thailand,Gulf of Thailand,Koh Tao,99.84855652,10.08422014
Green Rock,Thailand,Gulf of Thailand,Koh Tao,99.81190681,10.12866655
Hin pee wee,Thailand,Gulf of Thailand,Koh Tao,99.8015213,10.10957056
Palong Wall,Thailand,Andaman Sea,Koh Phi Phi,98.76408577,7.696574662
Koh Ma,Thailand,Gulf of Thailand,Koh Samui,99.97708333,9.8034
White Rock,Thailand,Gulf of Thailand,Koh Tao,99.81453333,10.10883333
Koh Mai Si Lek,Thailand,Gulf of Thailand,Koh Chang,102.5100833,11.71446667
HTMS Thonburi Wreck,Thailand,Gulf of Thailand,Koh Chang,102.4243167,11.94925
Koh Talu,Thailand,Gulf of Thailand,Chumphon,99.55385,11.07956667
Koh Ran,Thailand,Gulf of Thailand,Chumphon,99.53095,10.77935
Koh Ran Gai,Thailand,Gulf of Thailand,Chumphon,99.53968333,10.7982
Koh Lak Ngam,Thailand,Gulf of Thailand,Chumphon,99.40253333,10.46003333
Koh Ngam Noi,Thailand,Gulf of Thailand,Chumphon,99.41961667,10.487
Koh Ngam Yai,Thailand,Gulf of Thailand,Chumphon,99.4234,10.50203333
Japanese Garden,Thailand,Gulf of Thailand,Koh Tao,99.81585503,10.1191187
Twins,Thailand,Gulf of Thailand,Koh Tao,99.81173515,10.11725979
Nang Yuan Pinnacle,Thailand,Gulf of Thailand,Koh Tao,99.81482506,10.12317446
Mango Bay,Thailand,Gulf of Thailand,Koh Tao,99.83499527,10.12182254
Hin Wong Pinnacle,Thailand,Gulf of Thailand,Koh Tao,99.85344887,10.10213464
Shark Island,Thailand,Gulf of Thailand,Koh Tao,99.84529495,10.06199463
Sai Ree Beach,Thailand,Gulf of Thailand,Koh Tao,99.82349396,10.09376903
Ko Torinla West,Thailand,Andaman Sea,Koh Surin,97.86056667,9.368366667
Ko Torinla East,Thailand,Andaman Sea,Koh Surin,97.87021667,9.36675
Hin Pratumba,Thailand,Andaman Sea,Koh Surin,97.82953333,9.428016667
Hin Kop,Thailand,Andaman Sea,Koh Surin,97.87046667,9.474766667
Koh Chi,Thailand,Andaman Sea,Koh Surin,97.90595055,9.472598207
Hin Gong,Thailand,Andaman Sea,Koh Surin,97.89565086,9.396988224
Snapper Alley,Thailand,Andaman Sea,Koh Similan,97.65249252,8.674196877
Breakfast Bend,Thailand,Andaman Sea,Koh Similan,97.65275002,8.678778692
